application_id,candidate_id,job_id,applied_date
176,1763,33,2026-03-26
177,613,95,2026-03-12
178,1967,14,2026-07-03
179,1486,65,2026-03-05
180,643,110,2026-07-05
181,1793,80,2026-04-18
182,1029,54,2026-06-02
183,1242,125,2026-04-27
184,503,131,2026-08-21
185,767,134,2026-03-23
186,398,25,2026-06-21
187,871,141,2026-06-05
188,795,117,2026-03-03
189,393,136,2026-08-18
190,207,149,2026-06-23
191,1039,25,2026-03-18
192,1882,79,2026-02-27
193,1578,68,2026-07-17
194,892,12,2026-08-22
195,1485,32,2026-05-12
196,1715,128,2026-05-06
197,1599,96,2026-03-13
198,864,92,2026-08-08
199,743,141,2026-04-28
200,1265,31,2026-04-20
201,564,78,2026-07-11
202,1021,20,2026-07-19
203,96,146,2026-07-02
204,1924,60,2026-06-08
205,1758,134,2026-06-19
206,485,93,2026-05-27
207,1431,43,2026-04-04
208,231,130,2026-06-21
209,749,60,2026-04-14
210,1679,31,2026-07-30
211,1195,5,2026-03-29
212,541,10,2026-03-16
213,1060,89,2026-05-16
214,525,130,2026-08-15
215,1184,126,2026-03-22
216,1863,11,2026-05-04
217,1723,56,2026-05-27
218,1267,83,2026-04-22
219,1110,137,2026-07-19
220,1820,99,2026-07-26
221,578,149,2026-05-14
222,682,73,2026-03-19
223,557,115,2026-03-15
224,1598,7,2026-05-11
225,1977,80,2026-05-04
226,1013,144,2026-03-22
227,646,97,2026-06-28
228,796,4,2026-04-28
229,1052,4,2026-07-02
230,1644,103,2026-04-13
231,1580,40,2026-05-26
232,1364,17,2026-05-05
233,1822,101,2026-08-02
234,1982,103,2026-03-07
235,1355,124,2026-04-26
236,1664,52,2026-06-24
237,1530,52,2026-05-07
238,1372,124,2026-06-02
239,1497,63,2026-08-08
240,1255,116,2026-06-17
241,190,62,2026-06-16
242,1249,7,2026-07-02
243,1409,92,2026-04-12
244,1401,14,2026-04-26
245,1307,86,2026-07-20
246,1982,133,2026-06-18
247,633,130,2026-08-06
248,628,62,2026-05-22
249,973,149,2026-08-01
250,1769,79,2026-05-07
251,1283,149,2026-04-15
252,1383,138,2026-06-23
253,710,58,2026-03-15
254,1480,120,2026-04-20
255,1435,133,2026-07-03
256,649,65,2026-06-12
257,318,13,2026-07-18
258,1701,82,2026-04-24
259,1249,139,2026-08-24
260,1843,149,2026-04-11
261,1258,52,2026-04-15
262,684,117,2026-08-08
263,664,26,2026-05-16
264,1999,34,2026-07-01
265,1851,52,2026-05-17
266,1398,112,2026-03-27
267,1696,82,2026-05-31
268,1632,42,2026-07-18
269,1496,21,2026-08-08
270,1257,42,2026-08-17
271,1716,141,2026-05-31
272,1137,113,2026-08-13
273,1854,105,2026-07-01
274,1521,17,2026-06-07
275,442,120,2026-06-05
276,564,137,2026-05-25
277,1292,129,2026-07-01
278,1534,130,2026-05-30
279,1831,60,2026-08-05
280,1410,48,2026-05-20
281,1411,29,2026-04-11
282,1137,97,2026-07-02
283,1637,10,2026-04-10
284,1649,58,2026-08-03
285,952,21,2026-08-22
286,1105,28,2026-06-19
287,699,34,2026-05-15
288,113,8,2026-05-30
289,2,79,2026-07-19
290,642,145,2026-03-21
291,220,87,2026-05-09
292,1590,88,2026-04-05
293,855,69,2026-03-08
294,1760,87,2026-03-26
295,1249,101,2026-04-02
296,385,8,2026-08-17
297,1427,77,2026-08-02
298,1662,87,2026-03-30
299,1154,43,2026-03-19
300,1077,129,2026-06-27
301,1708,109,2026-07-18
302,730,17,2026-06-19
303,1696,133,2026-04-28
304,1734,148,2026-04-12
305,1440,21,2026-07-26
306,247,58,2026-02-28
307,836,110,2026-03-15
308,1463,139,2026-07-03
309,203,143,2026-05-09
310,1208,135,2026-06-22
311,123,28,2026-07-25
312,401,51,2026-04-09
313,767,5,2026-04-10
314,294,5,2026-04-05
315,280,94,2026-03-11
316,1861,96,2026-05-28
317,884,8,2026-08-25
318,1634,64,2026-05-29
319,198,138,2026-07-27
320,982,38,2026-04-16
321,1931,111,2026-06-13
322,1535,112,2026-03-23
323,752,81,2026-05-28
324,144,136,2026-06-25
325,609,104,2026-04-23
326,1225,73,2026-07-01
327,1148,49,2026-07-22
328,187,36,2026-07-15
329,1350,126,2026-05-27
330,464,68,2026-07-20
331,1373,78,2026-03-02
332,1795,105,2026-05-16
333,660,122,2026-07-21
334,764,119,2026-05-11
335,955,114,2026-03-17
336,1956,10,2026-04-08
337,403,149,2026-04-14
338,1370,140,2026-07-14
339,1987,91,2026-08-04
340,1535,2,2026-05-24
341,147,118,2026-03-16
342,1172,13,2026-06-17
343,864,95,2026-07-01
344,1735,144,2026-04-28
345,1844,32,2026-07-07
346,489,32,2026-04-25
347,929,124,2026-07-06
348,1960,11,2026-08-12
349,1664,10,2026-07-22
350,551,15,2026-05-25
351,338,17,2026-05-26
352,872,146,2026-03-09
353,641,59,2026-08-12
354,1803,78,2026-07-18
355,1977,124,2026-07-26
356,473,114,2026-07-13
357,1970,22,2026-07-30
358,151,32,2026-03-21
359,1439,113,2026-06-02
360,1322,120,2026-04-23
361,1635,149,2026-06-30
362,263,122,2026-03-10
363,1788,32,2026-06-09
364,144,119,2026-07-12
365,346,39,2026-04-29
366,624,12,2026-04-25
367,1017,18,2026-04-02
368,1596,149,2026-06-30
369,881,141,2026-03-14
370,2,149,2026-05-15
371,897,126,2026-06-09
372,1328,136,2026-07-01
373,254,46,2026-03-12
374,1676,104,2026-06-23
375,453,135,2026-04-26
376,1061,86,2026-05-23
377,1184,150,2026-03-25
378,1015,89,2026-03-19
379,9,22,2026-06-17
380,1257,92,2026-06-20
381,1123,29,2026-08-26
382,1683,13,2026-08-14
383,816,2,2026-07-11
384,208,29,2026-08-07
385,1155,27,2026-07-15
386,404,50,2026-03-05
387,152,95,2026-08-13
388,54,88,2026-06-15
389,1144,44,2026-05-10
390,1697,22,2026-05-06
391,1944,97,2026-08-20
392,628,3,2026-08-10
393,587,118,2026-05-26
394,1649,19,2026-04-28
395,1992,23,2026-04-12
396,1444,30,2026-07-30
397,1446,39,2026-04-06
398,104,108,2026-03-31
399,1876,111,2026-04-06
400,254,25,2026-07-02
401,1251,128,2026-08-17
402,1136,111,2026-06-23
403,510,136,2026-07-10
404,1497,106,2026-03-17
405,99,144,2026-03-25
406,153,72,2026-04-08
407,1885,129,2026-04-02
408,914,108,2026-04-21
409,1920,5,2026-04-06
410,878,3,2026-05-03
411,338,132,2026-04-04
412,1730,104,2026-07-03
413,822,64,2026-06-06
414,1187,106,2026-06-09
415,1744,98,2026-07-15
416,957,10,2026-03-08
417,1705,149,2026-04-27
418,161,128,2026-05-31
419,1604,46,2026-03-05
420,801,66,2026-07-25
421,398,112,2026-03-23
422,1301,13,2026-08-08
423,816,137,2026-06-24
424,1940,86,2026-04-17
425,1528,90,2026-08-11
426,1920,58,2026-04-01
427,1416,54,2026-06-08
428,1159,12,2026-08-03
429,1219,14,2026-06-11
430,401,121,2026-05-27
431,640,121,2026-05-26
432,1057,20,2026-03-01
433,688,75,2026-06-21
434,460,144,2026-03-19
435,955,70,2026-06-12
436,1907,56,2026-05-12
437,470,101,2026-08-04
438,1399,132,2026-04-26
439,1046,111,2026-08-12
440,750,125,2026-05-11
441,1694,132,2026-05-16
442,38,20,2026-03-07
443,230,138,2026-06-12
444,1389,24,2026-03-08
445,563,37,2026-06-09
446,438,54,2026-07-13
447,1800,103,2026-05-14
448,1307,149,2026-08-22
449,27,38,2026-07-21
450,226,4,2026-05-22
451,1301,57,2026-08-11
452,798,20,2026-05-23
453,1633,17,2026-05-26
454,284,119,2026-07-03
455,879,71,2026-05-01
456,960,4,2026-08-02
457,1505,14,2026-03-02
458,453,3,2026-04-13
459,1020,80,2026-07-18
460,1853,55,2026-03-02
461,816,132,2026-05-02
462,659,120,2026-04-13
463,1540,24,2026-07-26
464,547,82,2026-06-08
465,1216,147,2026-03-27
466,1073,60,2026-08-21
467,1536,147,2026-04-20
468,17,49,2026-05-24
469,1196,63,2026-07-06
470,1244,110,2026-03-31
471,158,150,2026-05-26
472,477,109,2026-05-02
473,1070,76,2026-05-12
474,1397,30,2026-04-29
475,518,58,2026-08-05
476,99,117,2026-04-17
477,1916,100,2026-03-30
478,1769,19,2026-07-16
479,1061,94,2026-07-05
480,280,113,2026-06-05
481,1373,146,2026-06-12
482,497,63,2026-05-02
483,302,116,2026-03-09
484,181,113,2026-02-28
485,607,47,2026-06-29
486,1123,57,2026-07-11
487,700,118,2026-06-05
488,993,45,2026-03-15
489,1140,145,2026-03-20
490,191,4,2026-03-29
491,253,148,2026-08-05
492,981,47,2026-06-23
493,928,143,2026-04-11
494,1185,47,2026-03-04
495,1280,78,2026-07-29
496,1347,124,2026-06-05
497,128,75,2026-03-16
498,18,103,2026-03-17
499,1817,137,2026-06-20
500,1759,90,2026-08-08
501,566,144,2026-08-07
502,570,69,2026-08-04
503,1347,61,2026-07-17
504,1896,138,2026-04-05
505,686,50,2026-04-22
506,1816,3,2026-08-05
507,626,107,2026-07-14
508,1312,113,2026-04-07
509,1967,94,2026-05-26
510,854,118,2026-05-27
511,1687,81,2026-08-16
512,962,109,2026-08-17
513,1663,51,2026-06-24
514,155,147,2026-04-09
515,490,35,2026-07-01
516,1410,46,2026-08-22
517,785,69,2026-04-13
518,1128,93,2026-08-20
519,1953,64,2026-06-26
520,1417,49,2026-07-27
521,1835,149,2026-07-07
522,246,74,2026-08-04
523,1200,5,2026-03-13
524,1063,100,2026-07-14
525,1501,70,2026-03-11
526,1706,90,2026-05-28
527,759,4,2026-08-19
528,538,126,2026-03-16
529,1891,39,2026-03-22
530,1842,129,2026-04-22
531,921,24,2026-06-07
532,408,57,2026-05-21
533,525,100,2026-03-19
534,828,70,2026-06-16
535,1530,41,2026-05-10
536,903,60,2026-04-19
537,1849,108,2026-06-05
538,36,57,2026-07-07
539,685,31,2026-06-19
540,20,84,2026-03-31
541,321,36,2026-08-08
542,1800,108,2026-06-22
543,512,106,2026-04-25
544,400,86,2026-06-23
545,654,135,2026-07-24
546,972,14,2026-08-11
547,1907,120,2026-06-02
548,471,138,2026-08-23
549,1167,80,2026-06-03
550,1116,144,2026-08-20
551,1378,106,2026-06-15
552,834,70,2026-07-18
553,1824,44,2026-07-22
554,727,73,2026-04-11
555,1983,45,2026-06-07
556,854,107,2026-07-09
557,51,84,2026-03-24
558,1689,82,2026-04-28
559,1722,107,2026-08-06
560,575,21,2026-04-03
561,1214,7,2026-06-17
562,1149,70,2026-03-03
563,150,127,2026-06-03
564,314,143,2026-06-19
565,570,148,2026-08-06
566,1366,143,2026-05-02
567,305,149,2026-03-01
568,1716,120,2026-04-04
569,682,128,2026-07-03
570,838,142,2026-03-24
571,1807,57,2026-03-12
572,1078,58,2026-06-01
573,1003,21,2026-06-29
574,444,82,2026-04-04
575,613,69,2026-04-27
576,993,131,2026-07-27
577,264,87,2026-03-30
578,1077,49,2026-03-16
579,1596,147,2026-05-05
580,1004,115,2026-08-21
581,1644,89,2026-05-06
582,5,85,2026-03-30
583,1127,128,2026-03-27
584,1220,140,2026-05-12
585,774,117,2026-08-12
586,877,127,2026-07-10
587,992,71,2026-05-02
588,884,86,2026-03-11
589,1374,33,2026-04-06
590,47,81,2026-06-24
591,867,61,2026-08-24
592,823,61,2026-07-24
593,936,98,2026-05-22
594,1844,28,2026-07-25
595,656,43,2026-06-11
596,269,86,2026-06-17
597,370,17,2026-07-19
598,636,98,2026-05-11
599,1130,98,2026-07-02
600,1694,65,2026-06-12
601,1683,74,2026-07-03
602,657,85,2026-05-14
603,120,5,2026-08-05
604,831,2,2026-03-08
605,1811,22,2026-08-07
606,1628,112,2026-03-15
607,1082,57,2026-03-30
608,1975,66,2026-04-05
609,1370,74,2026-05-25
610,741,98,2026-05-25
611,1498,144,2026-03-01
612,117,112,2026-07-25
613,1854,125,2026-06-27
614,791,86,2026-03-26
615,1151,76,2026-03-18
616,1417,88,2026-06-27
617,1932,38,2026-08-17
618,1013,59,2026-08-07
619,1665,138,2026-07-13
620,1082,99,2026-06-20
621,634,63,2026-07-22
622,513,49,2026-04-26
623,1775,32,2026-02-27
624,802,135,2026-03-15
625,1120,21,2026-04-02
626,1662,20,2026-06-25
627,1142,127,2026-08-05
628,560,68,2026-04-01
629,1625,110,2026-07-01
630,488,116,2026-06-06
631,1261,143,2026-05-17
632,1909,120,2026-04-12
633,897,79,2026-05-28
634,1296,116,2026-08-16
635,1213,92,2026-05-07
636,704,14,2026-05-20
637,1471,125,2026-07-21
638,581,58,2026-04-27
639,790,28,2026-04-20
640,861,26,2026-06-20
641,247,113,2026-08-13
642,1987,66,2026-06-14
643,1100,131,2026-05-31
644,154,44,2026-03-18
645,1680,97,2026-08-01
646,1459,42,2026-06-08
647,997,6,2026-04-22
648,1110,23,2026-03-10
649,697,89,2026-04-19
650,1309,123,2026-03-27
651,1998,147,2026-06-23
652,1244,51,2026-08-14
653,1093,11,2026-05-15
654,1071,12,2026-08-02
655,1009,74,2026-05-14
656,94,8,2026-04-18
657,1774,41,2026-03-07
658,958,85,2026-03-31
659,1012,72,2026-08-15
660,453,55,2026-08-08
661,1228,137,2026-05-25
662,912,47,2026-07-06
663,218,143,2026-05-23
664,474,104,2026-03-18
665,432,42,2026-05-08
666,341,60,2026-03-02
667,551,12,2026-06-13
668,1636,130,2026-03-20
669,1313,7,2026-03-27
670,1278,80,2026-06-26
671,1758,131,2026-08-24
672,357,109,2026-08-09
673,23,3,2026-05-11
674,1786,27,2026-06-01
675,522,114,2026-03-08
676,1782,107,2026-08-08
677,1861,40,2026-06-30
678,1124,129,2026-08-25
679,802,8,2026-03-01
680,1204,101,2026-05-11
681,1247,124,2026-04-02
682,1930,107,2026-03-21
683,762,101,2026-04-07
684,1683,4,2026-07-04
685,442,110,2026-08-07
686,1632,19,2026-07-17
687,769,32,2026-05-01
688,1016,137,2026-07-16
689,1349,12,2026-06-08
690,516,139,2026-04-30
691,1040,46,2026-03-19
692,792,119,2026-08-11
693,336,16,2026-05-12
694,1783,129,2026-03-19
695,258,63,2026-07-30
696,497,109,2026-06-23
697,896,119,2026-04-25
698,160,21,2026-02-28
699,1499,13,2026-06-16
700,852,4,2026-05-06
701,1688,102,2026-05-18
702,1932,59,2026-05-02
703,690,128,2026-08-22
704,1699,27,2026-07-25
705,380,69,2026-08-20
706,1569,25,2026-07-10
707,1953,131,2026-07-01
708,957,97,2026-06-03
709,691,25,2026-07-29
710,1451,148,2026-07-13
711,1637,126,2026-03-03
712,1292,133,2026-08-09
713,1859,9,2026-05-25
714,1601,116,2026-03-30
715,1441,134,2026-08-08
716,1192,60,2026-03-17
717,1866,121,2026-07-19
718,1067,139,2026-03-16
719,1580,108,2026-05-07
720,285,108,2026-03-05
721,397,131,2026-08-12
722,12,76,2026-06-28
723,1631,30,2026-08-22
724,1326,21,2026-07-03
725,1922,34,2026-04-16
726,1277,41,2026-06-18
727,499,51,2026-08-08
728,754,82,2026-03-21
729,35,58,2026-03-31
730,727,75,2026-05-10
731,849,23,2026-04-04
732,90,128,2026-05-17
733,776,150,2026-07-28
734,605,17,2026-03-17
735,1946,69,2026-04-12
736,970,108,2026-08-21
737,1626,139,2026-05-27
738,1022,94,2026-04-24
739,418,15,2026-06-23
740,115,91,2026-05-19
741,617,33,2026-07-06
742,1927,125,2026-06-05
743,1220,16,2026-07-29
744,826,66,2026-07-27
745,1525,47,2026-07-08
746,1650,148,2026-07-04
747,1517,124,2026-05-10
748,1099,1,2026-03-06
749,413,87,2026-05-25
750,1400,128,2026-03-22
751,1444,67,2026-03-18
752,729,4,2026-03-10
753,1301,47,2026-05-10
754,1021,38,2026-03-24
755,761,143,2026-06-20
756,676,21,2026-07-16
757,1418,57,2026-07-31
758,1893,117,2026-03-02
759,457,46,2026-08-24
760,920,142,2026-07-02
761,192,145,2026-08-21
762,739,39,2026-07-21
763,1713,137,2026-06-21
764,1123,99,2026-05-16
765,1572,77,2026-08-24
766,978,115,2026-04-01
767,1009,134,2026-08-18
768,96,91,2026-06-19
769,1688,98,2026-04-23
770,663,120,2026-03-17
771,1214,46,2026-05-29
772,1760,38,2026-08-25
773,37,142,2026-06-08
774,1804,100,2026-05-10
775,1393,72,2026-04-16
776,1719,35,2026-06-11
777,1549,147,2026-07-27
778,279,30,2026-06-23
779,217,78,2026-06-20
780,867,84,2026-03-28
781,873,113,2026-07-21
782,1822,25,2026-06-14
783,1297,88,2026-02-28
784,1905,14,2026-08-23
785,62,102,2026-08-04
786,596,150,2026-06-04
787,1904,83,2026-05-15
788,729,110,2026-06-19
789,1366,131,2026-07-15
790,397,19,2026-07-20
791,699,28,2026-05-29
792,1043,71,2026-05-27
793,177,63,2026-08-05
794,1636,73,2026-04-22
795,396,124,2026-03-26
796,445,119,2026-08-03
797,1257,121,2026-05-11
798,1939,19,2026-08-11
799,76,142,2026-05-18
800,265,120,2026-04-05
801,455,61,2026-06-02
802,1820,30,2026-05-23
803,718,9,2026-06-26
804,735,64,2026-03-21
805,1408,120,2026-03-13
806,1588,52,2026-06-09
807,851,89,2026-04-03
808,1530,142,2026-04-16
809,1391,53,2026-06-13
810,144,78,2026-08-15
811,885,41,2026-08-17
812,1093,68,2026-05-14
813,1123,8,2026-05-30
814,396,2,2026-03-19
815,1049,105,2026-08-02
816,948,125,2026-06-28
817,891,110,2026-03-01
818,1493,86,2026-07-28
819,1508,120,2026-04-10
820,1589,127,2026-06-08
821,1175,16,2026-07-20
822,1168,62,2026-05-31
823,569,113,2026-04-17
824,1063,12,2026-08-08
825,109,35,2026-08-08
826,1717,11,2026-06-13
827,1066,64,2026-04-04
828,1210,50,2026-04-14
829,935,149,2026-03-08
830,398,69,2026-04-13
831,1247,48,2026-03-09
832,634,20,2026-05-26
833,1157,101,2026-03-27
834,1187,137,2026-07-29
835,1239,68,2026-03-17
836,733,35,2026-03-29
837,235,65,2026-04-05
838,1867,8,2026-05-09
839,658,45,2026-07-12
840,751,87,2026-08-12
841,588,76,2026-05-11
842,1033,76,2026-06-26
843,1098,47,2026-06-10
844,954,15,2026-07-27
845,492,105,2026-07-19
846,913,147,2026-07-31
847,1277,26,2026-08-09
848,1254,52,2026-08-23
849,1543,93,2026-06-09
850,1198,150,2026-08-11
851,1677,21,2026-04-10
852,1192,51,2026-05-14
853,170,38,2026-05-07
854,1417,20,2026-05-06
855,946,132,2026-06-09
856,795,55,2026-03-04
857,634,92,2026-04-10
858,1218,28,2026-05-25
859,1541,4,2026-06-23
860,29,150,2026-08-11
861,1189,76,2026-03-29
862,1446,67,2026-06-27
863,339,86,2026-07-18
864,1672,91,2026-04-13
865,1520,105,2026-06-20
866,1389,1,2026-04-14
867,1857,72,2026-06-01
868,1366,87,2026-04-11
869,500,6,2026-05-07
870,1681,145,2026-04-26
871,511,61,2026-06-27
872,1351,12,2026-03-01
873,217,6,2026-06-16
874,1325,27,2026-07-27
875,1156,136,2026-04-22
876,1828,124,2026-04-07
877,1094,106,2026-05-16
878,1276,93,2026-03-10
879,1439,109,2026-04-28
880,1811,99,2026-06-16
881,445,142,2026-03-23
882,876,35,2026-03-03
883,1206,84,2026-04-07
884,167,56,2026-03-25
885,91,141,2026-06-06
886,714,49,2026-07-09
887,1882,46,2026-08-04
888,1555,113,2026-07-24
889,39,136,2026-04-21
890,1150,43,2026-05-22
891,1475,148,2026-04-15
892,173,124,2026-08-01
893,653,97,2026-07-06
894,754,90,2026-07-18
895,1244,39,2026-03-30
896,1662,85,2026-08-18
897,1082,62,2026-03-10
898,1684,106,2026-07-22
899,476,107,2026-03-11
900,456,54,2026-08-17
901,829,126,2026-04-07
902,895,9,2026-03-20
903,1385,88,2026-07-22
904,1959,37,2026-05-28
905,1025,49,2026-07-14
906,387,41,2026-03-17
907,1997,17,2026-07-13
908,348,88,2026-06-26
909,190,21,2026-04-09
910,505,51,2026-07-31
911,1215,59,2026-08-17
912,1532,41,2026-03-26
913,1393,39,2026-08-24
914,1433,141,2026-07-11
915,824,11,2026-05-21
916,929,147,2026-08-17
917,934,139,2026-04-02
918,1141,77,2026-04-06
919,134,127,2026-07-27
920,58,46,2026-08-07
921,1580,45,2026-05-25
922,685,1,2026-07-25
923,672,108,2026-07-21
924,173,19,2026-08-21
925,1853,76,2026-08-10
926,815,72,2026-08-22
927,1173,109,2026-06-13
928,80,12,2026-08-19
929,886,45,2026-07-26
930,1237,90,2026-04-17
931,203,103,2026-07-28
932,764,8,2026-06-10
933,1253,91,2026-05-01
934,1700,87,2026-08-15
935,1251,84,2026-06-29
936,1683,82,2026-08-18
937,1556,146,2026-06-25
938,1465,68,2026-07-03
939,1426,127,2026-08-01
940,47,82,2026-05-10
941,1257,147,2026-08-03
942,1329,84,2026-04-14
943,1550,113,2026-05-21
944,1167,76,2026-06-12
945,1439,122,2026-08-10
946,1537,143,2026-07-16
947,1397,41,2026-04-12
948,1590,2,2026-05-27
949,1910,29,2026-05-26
950,1283,105,2026-08-22
951,656,51,2026-06-28
952,471,75,2026-03-17
953,1977,10,2026-03-25
954,971,142,2026-06-21
955,1036,51,2026-03-10
956,1354,118,2026-05-01
957,736,121,2026-03-23
958,784,39,2026-07-23
959,968,28,2026-05-21
960,358,3,2026-03-20
961,972,84,2026-08-06
962,1432,117,2026-03-10
963,668,2,2026-05-25
964,373,93,2026-07-22
965,1032,131,2026-03-11
966,1146,144,2026-06-14
967,1372,94,2026-05-20
968,676,40,2026-07-17
969,90,2,2026-08-25
970,1672,81,2026-05-25
971,698,12,2026-07-18
972,1340,65,2026-02-28
973,1202,55,2026-08-19
974,540,45,2026-07-25
975,732,101,2026-03-27
976,869,62,2026-05-07
977,41,49,2026-04-27
978,740,127,2026-04-08
979,1728,23,2026-07-14
980,1947,38,2026-05-06
981,502,28,2026-07-14
982,959,21,2026-05-05
983,1169,107,2026-08-18
984,1225,146,2026-04-26
985,929,99,2026-05-18
986,1748,119,2026-05-04
987,461,73,2026-06-08
988,732,122,2026-04-29
989,752,30,2026-03-27
990,925,108,2026-03-03
991,909,98,2026-08-03
992,1582,32,2026-06-17
993,1571,79,2026-04-02
994,1277,41,2026-07-24
995,390,63,2026-06-14
996,1618,23,2026-04-30
997,883,104,2026-05-28
998,256,75,2026-06-14
999,709,48,2026-08-12
1000,1839,57,2026-03-06
1001,1945,118,2026-03-20
1002,450,100,2026-03-17
1003,10,124,2026-03-19
1004,824,34,2026-06-04
1005,798,7,2026-07-28
1006,1266,56,2026-06-29
1007,1275,65,2026-07-15
1008,877,47,2026-06-15
1009,1029,148,2026-06-02
1010,1143,19,2026-03-08
1011,1016,146,2026-06-03
1012,1825,126,2026-06-21
1013,374,139,2026-06-22
1014,1089,49,2026-06-03
1015,146,113,2026-05-19
1016,224,38,2026-04-12
1017,1263,64,2026-06-29
1018,177,69,2026-07-18
1019,1803,136,2026-03-14
1020,853,116,2026-07-07
1021,1306,65,2026-06-28
1022,63,31,2026-07-17
1023,1241,132,2026-07-19
1024,1878,113,2026-05-09
1025,827,109,2026-06-17
1026,795,69,2026-03-28
1027,689,120,2026-08-01
1028,1485,88,2026-03-14
1029,1953,67,2026-03-10
