job_id,employer_id,job_title,job_location,posted_date
112,1,Data Scientist,Pune,2026-02-01
113,15,Machine Learning Engineer,Kolkata,2026-02-19
114,14,Software Engineer,Delhi,2026-04-08
115,7,BI Analyst,Pune,2026-06-25
116,5,Data Analyst,Pune,2025-10-23
117,9,Backend Developer,Kolkata,2026-01-31
118,6,Backend Developer,Delhi,2025-12-28
119,16,Data Analyst,Delhi,2025-11-07
120,3,SQL Developer,Ahmedabad,2025-09-29
121,10,Business Analyst,Hyderabad,2025-12-30
122,12,Backend Developer,Noida,2025-10-29
123,13,Frontend Developer,Gurugram,2026-05-14
124,8,Business Analyst,Ahmedabad,2025-09-25
125,17,Business Analyst,Kolkata,2026-03-05
126,19,Power BI Developer,Pune,2026-03-06
127,16,Business Analyst,Bangalore,2025-12-08
128,20,Business Analyst,Mumbai,2026-07-28
129,11,Data Engineer,Hyderabad,2025-11-07
130,8,Software Engineer,Bangalore,2025-09-12
131,5,Business Analyst,Gurugram,2026-08-01
132,7,Python Developer,Chennai,2026-07-26
133,14,Python Developer,Ahmedabad,2026-04-02
134,2,Machine Learning Engineer,Kolkata,2026-02-21
135,12,Frontend Developer,Noida,2025-10-27
136,11,Power BI Developer,Hyderabad,2025-09-01
137,16,Backend Developer,Bangalore,2025-09-07
138,9,BI Analyst,Mumbai,2025-10-20
139,16,Frontend Developer,Mumbai,2025-09-27
140,10,Data Analyst,Ahmedabad,2026-06-08
141,2,Frontend Developer,Delhi,2025-11-03
142,8,Python Developer,Kolkata,2026-07-31
143,13,Python Developer,Mumbai,2026-07-31
144,4,Power BI Developer,Bangalore,2026-02-01
145,15,Software Engineer,Delhi,2025-09-15
146,13,Python Developer,Pune,2026-04-26
147,3,Data Scientist,Pune,2026-01-14
148,7,BI Analyst,Chennai,2026-07-13
149,11,Backend Developer,Hyderabad,2026-03-19
150,2,Python Developer,Noida,2026-06-08
